2	BE	4001	0.210	2015-01-01
3	BG	4002	0.200	2015-01-01
4	CZ	4003	0.210	2015-01-01
5	DK	4004	0.250	2015-01-01
6	EE	4005	0.200	2015-01-01
7	EL	4006	0.240	2016-06-01
8	ES	4007	0.210	2015-01-01
9	FR	4008	0.200	2015-01-01
10	HR	4009	0.250	2015-01-01
11	IE	4010	0.230	2015-01-01
12	IT	4011	0.220	2015-01-01
13	CY	4012	0.190	2015-01-01
14	LV	4013	0.210	2015-01-01
15	LT	4014	0.210	2015-01-01
16	LU	4015	0.170	2015-01-01
17	HU	4016	0.270	2015-01-01
18	MT	4017	0.180	2015-01-01
19	NL	4018	0.210	2015-01-01
20	AT	4019	0.200	2015-01-01
21	PL	4020	0.230	2015-01-01
22	PT	4021	0.230	2015-01-01
23	RO	4022	0.200	2016-01-01
24	SI	4023	0.220	2015-01-01
25	SK	4024	0.200	2015-01-01
26	FI	4025	0.240	2015-01-01
27	SE	4026	0.250	2015-01-01
28	GB	4027	0.200	2015-01-01
